DATE_NAME,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,C2021_ETH_20_NAME,OBS_VALUE
2021,650117141,Bury,E08000002,"Black, Black British, Black Welsh, Caribbean or African: Other Black",469
2021,650117141,Bury,E08000002,Mixed or Multiple ethnic groups: White and Asian,1670
2021,650117141,Bury,E08000002,Mixed or Multiple ethnic groups: White and Black African,746
2021,650117141,Bury,E08000002,Mixed or Multiple ethnic groups: White and Black Caribbean,1622
2021,650117141,Bury,E08000002,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1085
2021,650117141,Bury,E08000002,"White: English, Welsh, Scottish, Northern Irish or British",151528
2021,650117141,Bury,E08000002,White: Irish,2192
2021,650117141,Bury,E08000002,White: Gypsy or Irish Traveller,132
2021,650117141,Bury,E08000002,White: Roma,134
2021,650117141,Bury,E08000002,White: Other White,6730
2021,650117141,Bury,E08000002,Other ethnic group: Arab,715
2021,650117141,Bury,E08000002,Other ethnic group: Any other ethnic group,3014
2021,650117135,Cheshire East,E06000049,"Asian, Asian British or Asian Welsh: Bangladeshi",626
2021,650117135,Cheshire East,E06000049,"Asian, Asian British or Asian Welsh: Chinese",1543
2021,650117135,Cheshire East,E06000049,"Asian, Asian British or Asian Welsh: Indian",3480
2021,650117135,Cheshire East,E06000049,"Asian, Asian British or Asian Welsh: Pakistani",1437
2021,650117135,Cheshire East,E06000049,"Asian, Asian British or Asian Welsh: Other Asian",2445
2021,650117135,Cheshire East,E06000049,"Black, Black British, Black Welsh, Caribbean or African: African",1472
2021,650117135,Cheshire East,E06000049,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",608
2021,650117135,Cheshire East,E06000049,"Black, Black British, Black Welsh, Caribbean or African: Other Black",342
2021,650117135,Cheshire East,E06000049,Mixed or Multiple ethnic groups: White and Asian,2473
2021,650117135,Cheshire East,E06000049,Mixed or Multiple ethnic groups: White and Black African,884
2021,650117135,Cheshire East,E06000049,Mixed or Multiple ethnic groups: White and Black Caribbean,1952
2021,650117135,Cheshire East,E06000049,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1750
2021,650117135,Cheshire East,E06000049,"White: English, Welsh, Scottish, Northern Irish or British",357337
2021,650117135,Cheshire East,E06000049,White: Irish,2559
2021,650117135,Cheshire East,E06000049,White: Gypsy or Irish Traveller,345
2021,650117135,Cheshire East,E06000049,White: Roma,418
2021,650117135,Cheshire East,E06000049,White: Other White,15884
2021,650117135,Cheshire East,E06000049,Other ethnic group: Arab,709
2021,650117135,Cheshire East,E06000049,Other ethnic group: Any other ethnic group,2508
2021,650117136,Cheshire West and Chester,E06000050,"Asian, Asian British or Asian Welsh: Bangladeshi",742
2021,650117136,Cheshire West and Chester,E06000050,"Asian, Asian British or Asian Welsh: Chinese",1337
2021,650117136,Cheshire West and Chester,E06000050,"Asian, Asian British or Asian Welsh: Indian",2338
2021,650117136,Cheshire West and Chester,E06000050,"Asian, Asian British or Asian Welsh: Pakistani",656
2021,650117136,Cheshire West and Chester,E06000050,"Asian, Asian British or Asian Welsh: Other Asian",2158
2021,650117136,Cheshire West and Chester,E06000050,"Black, Black British, Black Welsh, Caribbean or African: African",1515
2021,650117136,Cheshire West and Chester,E06000050,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",373
2021,650117136,Cheshire West and Chester,E06000050,"Black, Black British, Black Welsh, Caribbean or African: Other Black",219
2021,650117136,Cheshire West and Chester,E06000050,Mixed or Multiple ethnic groups: White and Asian,1961
2021,650117136,Cheshire West and Chester,E06000050,Mixed or Multiple ethnic groups: White and Black African,904
2021,650117136,Cheshire West and Chester,E06000050,Mixed or Multiple ethnic groups: White and Black Caribbean,1181
2021,650117136,Cheshire West and Chester,E06000050,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1245
2021,650117136,Cheshire West and Chester,E06000050,"White: English, Welsh, Scottish, Northern Irish or British",325620
2021,650117136,Cheshire West and Chester,E06000050,White: Irish,2651
2021,650117136,Cheshire West and Chester,E06000050,White: Gypsy or Irish Traveller,354
2021,650117136,Cheshire West and Chester,E06000050,White: Roma,221
2021,650117136,Cheshire West and Chester,E06000050,White: Other White,11515
2021,650117136,Cheshire West and Chester,E06000050,Other ethnic group: Arab,595
2021,650117136,Cheshire West and Chester,E06000050,Other ethnic group: Any other ethnic group,1564
2021,650117139,Cumbria,E10000006,"Asian, Asian British or Asian Welsh: Bangladeshi",446
2021,650117139,Cumbria,E10000006,"Asian, Asian British or Asian Welsh: Chinese",1128
2021,650117139,Cumbria,E10000006,"Asian, Asian British or Asian Welsh: Indian",1194
2021,650117139,Cumbria,E10000006,"Asian, Asian British or Asian Welsh: Pakistani",357
2021,650117139,Cumbria,E10000006,"Asian, Asian British or Asian Welsh: Other Asian",1783
2021,650117139,Cumbria,E10000006,"Black, Black British, Black Welsh, Caribbean or African: African",866
2021,650117139,Cumbria,E10000006,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",238
2021,650117139,Cumbria,E10000006,"Black, Black British, Black Welsh, Caribbean or African: Other Black",91
2021,650117139,Cumbria,E10000006,Mixed or Multiple ethnic groups: White and Asian,1488
2021,650117139,Cumbria,E10000006,Mixed or Multiple ethnic groups: White and Black African,590
2021,650117139,Cumbria,E10000006,Mixed or Multiple ethnic groups: White and Black Caribbean,796
2021,650117139,Cumbria,E10000006,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1129
2021,650117139,Cumbria,E10000006,"White: English, Welsh, Scottish, Northern Irish or British",474172
2021,650117139,Cumbria,E10000006,White: Irish,1669
2021,650117139,Cumbria,E10000006,White: Gypsy or Irish Traveller,368
2021,650117139,Cumbria,E10000006,White: Roma,249
2021,650117139,Cumbria,E10000006,White: Other White,11569
2021,650117139,Cumbria,E10000006,Other ethnic group: Arab,461
2021,650117139,Cumbria,E10000006,Other ethnic group: Any other ethnic group,1254
2021,650117137,Halton,E06000006,"Asian, Asian British or Asian Welsh: Bangladeshi",58
2021,650117137,Halton,E06000006,"Asian, Asian British or Asian Welsh: Chinese",418
2021,650117137,Halton,E06000006,"Asian, Asian British or Asian Welsh: Indian",375
2021,650117137,Halton,E06000006,"Asian, Asian British or Asian Welsh: Pakistani",125
2021,650117137,Halton,E06000006,"Asian, Asian British or Asian Welsh: Other Asian",460
2021,650117137,Halton,E06000006,"Black, Black British, Black Welsh, Caribbean or African: African",293
2021,650117137,Halton,E06000006,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",84
2021,650117137,Halton,E06000006,"Black, Black British, Black Welsh, Caribbean or African: Other Black",134
2021,650117137,Halton,E06000006,Mixed or Multiple ethnic groups: White and Asian,461
2021,650117137,Halton,E06000006,Mixed or Multiple ethnic groups: White and Black African,342
2021,650117137,Halton,E06000006,Mixed or Multiple ethnic groups: White and Black Caribbean,530
2021,650117137,Halton,E06000006,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,458
